"Date","Price","Open","High","Low","Vol.","Change %"
"01/15/2026","1,861.31","1,894.44","1,896.24","1,845.95","1.24B","-1.75%"
"01/14/2026","1,894.44","1,902.93","1,918.46","1,870.87","1.34B","-0.45%"
"01/13/2026","1,902.93","1,877.33","1,910.69","1,871.79","1.29B","1.36%"
"01/12/2026","1,877.33","1,867.90","1,887.92","1,862.13","1.32B","0.50%"
"01/09/2026","1,867.90","1,855.56","1,880.16","1,853.16","1.22B","0.67%"
"01/08/2026","1,855.56","1,861.58","1,888.33","1,850.11","1.17B","-0.32%"
"01/07/2026","1,861.58","1,816.27","1,861.58","1,816.27","929.08M","2.49%"
"01/06/2026","1,816.27","1,788.40","1,817.06","1,788.40","838.99M","1.56%"
"01/05/2026","1,788.40","1,784.49","1,797.40","1,775.19","810.90M","0.22%"
"12/31/2025","1,784.49","1,766.90","1,787.75","1,755.58","592.84M","1.00%"
"12/30/2025","1,766.90","1,754.84","1,766.90","1,740.07","554.60M","0.69%"
"12/29/2025","1,754.84","1,729.80","1,754.84","1,729.80","513.33M","1.45%"
"12/26/2025","1,729.80","1,742.85","1,742.85","1,687.14","920.35M","-0.75%"
"12/25/2025","1,742.85","1,782.82","1,805.93","1,742.85","633.31M","-2.24%"
"12/24/2025","1,782.82","1,772.15","1,792.21","1,753.65","685.90M","0.60%"
"12/23/2025","1,772.15","1,751.03","1,778.18","1,751.03","732.38M","1.21%"
"12/22/2025","1,751.03","1,704.31","1,751.03","1,704.31","755.37M","2.74%"
"12/19/2025","1,704.31","1,676.98","1,705.76","1,676.98","660.58M","1.63%"
"12/18/2025","1,676.98","1,673.66","1,677.24","1,665.21","490.17M","0.20%"
"12/17/2025","1,673.66","1,679.18","1,689.53","1,649.51","495.75M","-0.33%"
"12/16/2025","1,679.18","1,646.01","1,689.07","1,629.37","751.64M","2.02%"
"12/15/2025","1,646.01","1,646.89","1,665.65","1,635.91","599.60M","-0.05%"